     mean_fit_time  std_fit_time  mean_score_time  std_score_time param_max_depth param_max_features param_min_samples_split param_n_estimators                                                                                     params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
0         0.277398      0.052016         0.056399        0.031147               1               sqrt                       2                 10       {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
61        1.463465      0.557421         0.121349        0.060254               2               sqrt                       2                100      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
90        0.114245      0.004670         0.017376        0.003240               2               auto                       6                 10       {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
89       11.284100      1.653416         1.316113        0.430812               2               auto                       4               1000     {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
88        5.308424      0.418002         0.367348        0.021469               2               auto                       4                500      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
87        2.915559      0.510895         0.198210        0.036107               2               auto                       4                250      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
86        1.260980      0.217499         0.095707        0.019090               2               auto                       4                100      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
85        0.181452      0.065985         0.022467        0.004363               2               auto                       4                 10       {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
84       12.404492      2.079511         0.813171        0.096728               2               auto                       2               1000     {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
83        6.207071      1.970577         0.429563        0.064394               2               auto                       2                500      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
82        3.604723      0.983254         0.324333        0.100935               2               auto                       2                250      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
81        1.528652      0.384136         0.133904        0.052153               2               auto                       2                100      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
80        0.125688      0.014736         0.039814        0.042240               2               auto                       2                 10       {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
79       12.883589      3.034747         1.039985        0.358166               2               sqrt                       8               1000     {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
78        6.483736      1.512137         0.436705        0.084291               2               sqrt                       8                500      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
77        2.916261      0.598938         0.237270        0.096724               2               sqrt                       8                250      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
76        1.524069      0.539837         0.123887        0.036106               2               sqrt                       8                100      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
75        0.227994      0.072060         0.047679        0.027247               2               sqrt                       8                 10       {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
74       14.903530      2.497797         1.122010        0.308945               2               sqrt                       6               1000     {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
73        7.581724      1.506478         0.840805        0.233450               2               sqrt                       6                500      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
72        3.406112      0.614939         0.221964        0.020893               2               sqrt                       6                250      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
71        1.715296      0.513846         0.136973        0.067605               2               sqrt                       6                100      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
70        0.230417      0.027213         0.029999        0.007886               2               sqrt                       6                 10       {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
68        6.454646      1.195453         0.479458        0.118539               2               sqrt                       4                500      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
67        4.418841      1.324784         0.353383        0.178272               2               sqrt                       4                250      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
66        2.256710      0.757397         0.208241        0.074080               2               sqrt                       4                100      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
65        0.220352      0.037619         0.032870        0.007525               2               sqrt                       4                 10       {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
64       19.879193      2.206365         1.742145        0.380151               2               sqrt                       2               1000     {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
63        7.875615      1.976213         0.886000        0.357061               2               sqrt                       2                500      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
91        1.115634      0.052573         0.087514        0.008008               2               auto                       6                100      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
92        3.647441      0.921701         0.261953        0.085189               2               auto                       6                250      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
93        6.404184      1.784916         0.502924        0.127838               2               auto                       6                500      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
108       5.705759      0.821800         0.448918        0.115415               2               log2                       4                500      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
1         1.966843      0.515641         0.183571        0.047866               1               sqrt                       2                100      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
119      10.397217      0.749043         0.783800        0.077819               2               log2                       8               1000     {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
118       5.626097      0.664833         0.434370        0.077007               2               log2                       8                500      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
117       2.654262      0.238804         0.208478        0.028322               2               log2                       8                250      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
116       1.072689      0.102386         0.089599        0.013490               2               log2                       8                100      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
115       0.125743      0.013896         0.021115        0.007985               2               log2                       8                 10       {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
114      10.318726      0.767511         0.804305        0.172733               2               log2                       6               1000     {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
113       5.522219      0.664882         0.427624        0.078568               2               log2                       6                500      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
112       2.938757      0.485154         0.304589        0.140865               2               log2                       6                250      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
111       1.318954      0.239353         0.122014        0.024983               2               log2                       6                100      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
110       0.125245      0.007099         0.028113        0.012549               2               log2                       6                 10       {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
109      12.410347      2.157581         0.924607        0.220193               2               log2                       4               1000     {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
107       2.789353      0.556439         0.236090        0.064790               2               log2                       4                250      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
94       13.021089      1.235058         0.898521        0.278570               2               auto                       6               1000     {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
106       1.223178      0.243367         0.104749        0.026748               2               log2                       4                100      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
105       0.130209      0.015159         0.018824        0.003474               2               log2                       4                 10       {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
104      12.450823      1.870423         0.876998        0.195150               2               log2                       2               1000     {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
103       6.501567      1.305445         0.560841        0.114148               2               log2                       2                500      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
102       3.441475      0.330166         0.227745        0.061461               2               log2                       2                250      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
101       1.047621      0.060995         0.106752        0.028034               2               log2                       2                100      {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
100       0.171846      0.029184         0.028546        0.006188               2               log2                       2                 10       {'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
99       10.763526      1.076584         0.809919        0.117319               2               auto                       8               1000     {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
98        5.779313      0.670321         0.455818        0.089702               2               auto                       8                500      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
97        4.374725      1.180700         0.400499        0.106733               2               auto                       8                250      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
96        1.104096      0.208928         0.091734        0.020914               2               auto                       8                100      {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
95        0.124843      0.009036         0.018840        0.004268               2               auto                       8                 10       {'max_depth': 2, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720588          0.720440         0.000155
62        3.148696      0.541019         0.259398        0.060749               2               sqrt                       2                250      {'max_depth': 2, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
